130 466
54 28 75
21 74 80
117 30 74
28 95 77
90 112 78
69 45 35
62 9 13
38 84 12
93 46 40
45 126 41
12 110 62
90 43 2
35 89 65
48 51 7
27 99 40
71 112 87
27 69 17
106 98 44
77 82 66
7 121 72
122 51 73
99 16 54
63 113 90
118 98 3
66 119 50
130 40 18
8 86 33
79 25 100
72 45 41
59 49 38
75 57 60
91 127 53
48 41 3
77 124 76
122 124 53
5 40 58
122 112 60
120 24 88
43 18 82
16 80 100
81 9 27
99 111 67
101 68 8
88 93 72
63 49 91
61 115 34
31 7 81
98 59 4
28 46 58
73 25 73
130 30 57
21 69 94
51 120 4
2 43 71
114 121 100
26 129 35
93 7 43
116 32 33
80 88 99
114 2 8
56 22 68
84 79 69
126 33 90
82 128 3
25 60 71
121 51 32
89 85 6
97 38 84
60 53 29
120 25 38
98 51 98
102 27 91
63 37 62
80 72 59
65 82 78
98 36 91
119 122 58
77 15 15
128 116 94
75 52 65
105 41 72
48 13 95
37 24 49
97 69 76
101 25 54
129 120 69
129 78 63
6 108 34
48 113 66
71 127 19
15 1 24
38 95 86
74 31 93
102 54 76
123 122 93
42 1 2
78 52 48
115 33 20
122 66 69
53 79 62
76 52 82
98 35 14
41 96 65
119 48 95
111 72 42
20 13 100
42 130 88
107 12 83
84 19 23
13 38 8
15 25 57
125 121 9
77 62 45
48 102 33
105 46 47
6 17 5
112 26 12
89 80 2
114 96 19
16 31 17
18 1 77
62 77 91
41 129 85
96 47 71
98 108 88
66 23 43
103 73 21
93 23 94
126 111 98
1 121 90
54 43 47
121 46 14
29 123 55
54 130 33
22 16 44
118 23 87
96 4 96
115 42 49
40 89 48
52 104 6
28 126 11
50 116 77
19 72 100
85 78 24
16 83 67
83 11 22
26 58 85
79 101 20
97 101 93
17 37 14
60 115 51
111 64 42
78 102 34
106 53 96
4 42 62
26 11 18
65 118 97
111 107 98
128 36 55
35 126 48
66 60 73
28 10 60
8 50 30
17 83 22
45 74 40
38 84 30
111 44 41
3 113 69
46 25 3
85 49 68
13 68 82
100 105 28
1 12 11
79 27 83
40 106 82
36 125 19
48 98 20
34 120 47
87 24 18
84 66 78
36 13 70
110 91 96
120 82 97
56 40 19
26 40 17
83 127 52
113 22 37
101 30 49
34 11 99
82 15 46
121 56 58
54 101 76
62 48 13
6 123 97
47 90 39
77 98 59
38 56 29
36 56 36
89 25 6
119 120 85
119 103 14
28 35 79
37 77 3
124 105 95
57 26 66
8 68 19
12 17 49
24 114 58
79 111 36
18 75 54
33 74 83
75 50 33
92 36 8
56 126 58
34 24 60
8 79 51
97 89 81
88 14 57
105 94 39
67 31 84
37 46 38
59 77 10
45 89 31
67 16 59
60 97 19
123 49 64
68 49 17
4 125 12
55 88 2
62 34 77
33 17 47
20 129 7
41 70 90
119 84 85
12 74 21
74 120 58
21 103 24
109 125 48
4 75 52
13 4 1
111 122 52
24 77 22
105 36 43
108 129 67
94 11 91
20 35 47
59 107 32
64 101 10
128 101 91
31 27 80
122 99 22
28 58 44
122 6 32
18 126 23
111 78 23
14 100 47
68 18 29
12 76 34
73 90 98
90 109 61
109 112 100
110 89 83
30 40 59
66 20 64
109 3 49
87 55 93
114 4 75
43 41 77
97 127 43
2 101 29
22 93 89
24 120 63
17 13 35
126 89 2
76 34 54
63 3 90
11 26 96
120 9 65
4 6 45
15 69 49
108 92 4
11 114 56
35 47 70
68 118 3
59 67 53
91 70 59
83 114 70
20 9 39
43 79 53
129 124 69
119 107 62
99 74 24
117 91 44
19 39 89
6 40 42
55 123 83
105 9 11
18 109 45
102 5 79
27 95 12
29 10 65
79 81 91
23 60 53
61 90 78
103 107 22
81 62 26
67 114 66
32 31 4
4 116 46
48 124 64
105 125 87
54 66 57
53 77 23
20 13 4
126 63 83
67 15 65
98 97 90
16 75 71
82 87 66
36 4 39
62 28 93
108 124 59
40 56 27
114 53 28
83 56 55
7 52 22
45 89 86
104 48 15
62 18 30
68 36 44
23 8 5
130 91 37
45 72 29
122 24 19
58 23 69
89 79 13
63 84 41
26 27 29
19 62 31
24 43 34
62 56 16
78 30 30
39 8 73
104 27 67
11 41 83
72 130 48
55 81 53
115 117 59
107 127 52
59 25 22
97 99 45
26 88 17
32 89 74
79 86 20
97 61 18
21 46 84
54 96 34
116 72 43
40 42 82
89 124 6
20 8 23
68 12 68
127 68 37
4 127 36
89 78 66
106 97 29
82 92 17
74 69 44
113 125 21
21 76 38
65 9 71
81 10 66
62 59 57
127 52 33
5 100 27
76 22 14
52 27 34
99 75 44
95 7 23
11 34 43
78 120 17
67 94 18
25 123 68
32 78 64
95 73 80
101 54 54
72 3 55
38 24 8
45 105 47
14 129 16
111 79 19
107 68 86
83 87 32
85 62 9
66 67 73
87 113 93
38 67 64
42 75 98
117 92 64
120 50 22
108 130 45
17 122 1
46 103 45
70 112 3
47 97 94
9 49 83
75 91 91
39 78 91
70 54 7
86 109 48
73 129 88
31 104 84
64 78 57
92 110 45
68 95 60
83 25 61
42 36 13
121 108 79
92 9 7
64 52 40
76 64 100
113 103 85
77 118 39
122 98 38
76 32 13
94 60 9
109 92 27
69 31 12
89 106 90
76 121 90
65 122 45
108 65 59
15 58 76
33 103 94
83 12 95
44 38 91
51 29 31
51 122 79
69 77 100
90 91 60
66 104 75
105 36 73
51 70 68
103 10 31
45 94 85
83 82 46
71 70 63
86 97 46
34 4 83
20 67 21
24 27 51
119 102 34
94 59 18
91 92 11
108 32 21
11 116 20
23 56 73
6 37 26
102 111 7
39 15 6
47 20 92
114 8 98
68 122 22
9 79 82
39 75 47
54 26 56
